Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,St EMS Disp,154.792500,split,159.195000,,88.5,88.5,023,NN,NFM,5.00,,EMS Dispatch,,,,
1,St FD Dist1,155.385000,split,159.015000,TSQL,94.8,94.8,023,NN,NFM,5.00,,Fire Dist 1,,,,
2,St FD Dist1,154.340000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,Fire Dist 1 Tactical,,,,
3,St FD South ,154.415000,split,153.785000,TSQL,127.3,127.3,023,NN,NFM,5.00,,Fire Dispatch South,,,,
4,St FD Tac,154.070000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,Fire Tactical,,,,
5,St FD Tac,154.235000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,Fire Tactical,,,,
6,St FD Dist1,155.010000,split,158.865000,,88.5,88.5,023,NN,NFM,5.00,,Fire Dist 1 Tactical,,,,
7,St FD North,154.400000,split,154.145000,TSQL,127.3,127.3,023,NN,NFM,5.00,,Fire Dispatch North,,,,
8,St PubSafety,155.070000,split,159.150000,,88.5,88.5,023,NN,NFM,5.00,,Public Safety,,,,
9,St SO Disp,153.965000,split,155.670000,TSQL,179.9,179.9,023,NN,NFM,5.00,,Sheriff Dispatch,,,,
10,St PubSafety,154.987500,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,Public Safety,,,,
11,St SO Ch 3,154.747500,,0.600000,TSQL,203.5,203.5,023,NN,NFM,5.00,,Sheriff Channel 3,,,,
12,St SO Ch 3D,154.747500,,0.600000,,88.5,88.5,023,NN,P25,5.00,,Sheriff Channel 3 Digital,,,,
13,STCS Tac,155.602500,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,Tactical,,,,
14,STCS Tac,155.692500,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,Tactical,,,,
15,St SO Disp D,153.965000,split,155.670000,,88.5,88.5,023,NN,P25,5.00,,Sheriff Dispatch Digital,,,,
16,STPW Springd,154.100000,split,153.800000,TSQL,103.5,103.5,023,NN,NFM,5.00,,Public Works Springdale,,,,
17,STPW Second,154.040000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,Public Works Secondary,,,,
18,StevensPUD S,152.427500,split,157.687500,,88.5,88.5,023,NN,NFM,5.00,,Public Utility District South,,,,
19,StevensPUD N,152.332500,split,157.582500,,88.5,88.5,023,NN,NFM,5.00,,Public Utility District North,,,,
20,STPW Main,151.362500,,0.600000,TSQL,186.2,186.2,023,NN,NFM,5.00,,Public Works Main,,,,
21,MCH Paging,157.450000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,Mount Carmel Hospital - Paging,,,,
22,RichTrucking,463.650000,split,468.650000,TSQL,127.3,127.3,023,NN,NFM,5.00,,Richardson Trucking,,,,
23,Colville PD,154.815000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,Police - Dispatch,,,,
24,Colville Bld,158.745000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,Building Inspectors,,,,
25, KettlePDOPS,154.965000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,Public Safety Ops,,,,
26,Chewelah Pd,155.745000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,Public Safety Ops,,,,
27,ValleySD Bus,152.397500,split,157.657500,TSQL,77.0,77.0,023,NN,NFM,5.00,,Valley School District - Buses,,,,
28,Spo Tribe FD,155.932500,split,153.927500,DTCS,88.5,88.5,134,NN,NFM,5.00,,Fire Dispatch,,,,
29,Spo Tribe PW,151.130000,split,158.835000,,88.5,88.5,023,NN,NFM,5.00,,Public Works Department,,,,
30,Spo Tribe PW,156.000000,split,158.925000,,88.5,88.5,023,NN,NFM,5.00,,Public Works Department,,,,
31,Spo TribeEMS,155.722500,split,154.002500,DTCS,88.5,88.5,226,NN,NFM,5.00,,EMS Primary,,,,
32,Spo TribeHA,155.955000,,0.600000,TSQL,192.8,192.8,023,NN,NFM,5.00,,Housing Authority,,,,
33,Spo Tribe Op,160.170000,split,152.952500,DTCS,88.5,88.5,346,NN,NFM,5.00,,Cultural Operations,,,,
34,N7BFS A,145.250000,split,144.650000,DTCS,88.5,88.5,116,NN,FM,5.00,,N7BFS Analog,,,,
35,N7BFS P25,145.250000,split,144.650000,,88.5,88.5,023,NN,P25,5.00,,N7BFS P25,,,,
36,N7BFS DSTAR,145.250000,split,144.650000,,88.5,88.5,023,NN,DV,5.00,,N7BFS DSTAR,,,,
37,IEVHF Club43,145.430000,split,144.830000,,88.5,88.5,023,NN,FM,5.00,,WR7VHF Chewelah,,,,
38,KBARA 36,147.360000,split,147.960000,,88.5,88.5,023,NN,FM,5.00,,KB7ARA Chwewlah,,,,
39,K7JAR,146.620000,split,146.020000,,88.5,88.5,023,NN,FM,5.00,,Panaramaland Amateur Radio Club,,,,
40,KBARA 220,223.900000,split,222.300000,,88.5,88.5,023,NN,FM,5.00,,KBARA Hub Repeater,,,,
41,W7GHJ UHF,443.725000,split,448.725000,,88.5,88.5,023,NN,FM,5.00,,W7GHJ Chewelah,,,,
